Symbol,Company Name,Exchange,Sector
BOM:533098,NHPC Limited,Bombay Stock Exchange,
NSE:NHPC,NHPC Limited,National Stock Exchange of India,Utilities
BOM:532754,GMR Airports Limited,Bombay Stock Exchange,
NSE:GMRAIRPORT,GMR Airports Limited,National Stock Exchange of India,Industrials
BOM:542649,Rail Vikas Nigam Limited,Bombay Stock Exchange,
NSE:RVNL,Rail Vikas Nigam Limited,National Stock Exchange of India,Industrials
BOM:533179,Persistent Systems Limited,Bombay Stock Exchange,
NSE:PERSISTENT,Persistent Systems Limited,National Stock Exchange of India,Technology
NSE:BHARTIHEXA,Bharti Hexacom Limited,National Stock Exchange of India,Communication Services
BOM:544162,Bharti Hexacom Limited,Bombay Stock Exchange,
NSE:HEROMOTOCO,Hero MotoCorp Limited,National Stock Exchange of India,Consumer Discretionary
BOM:500182,Hero MotoCorp Limited,Bombay Stock Exchange,
BOM:500096,Dabur India Limited,Bombay Stock Exchange,
NSE:DABUR,Dabur India Limited,National Stock Exchange of India,Consumer Staples
BOM:500104,Hindustan Petroleum Corporation Limited,Bombay Stock Exchange,
NSE:HINDPETRO,Hindustan Petroleum Corporation Limited,National Stock Exchange of India,Energy
NSE:POLICYBZR,PB Fintech Limited,National Stock Exchange of India,Financials
BOM:543390,PB Fintech Limited,Bombay Stock Exchange,
NSE:INDIANB,Indian Bank,National Stock Exchange of India,Financials
BOM:532814,Indian Bank,Bombay Stock Exchange,
BOM:532466,Oracle Financial Services Software Limited,Bombay Stock Exchange,
NSE:OFSS,Oracle Financial Services Software Limited,National Stock Exchange of India,Technology
BOM:544277,Waaree Energies Limited,Bombay Stock Exchange,
NSE:WAAREEENER,Waaree Energies Limited,National Stock Exchange of India,Technology
BOM:543187,Hitachi Energy India Limited,Bombay Stock Exchange,
NSE:POWERINDIA,Hitachi Energy India Limited,National Stock Exchange of India,Industrials
BOM:512455,Lloyds Metals and Energy Limited,Bombay Stock Exchange,
NSE:LLOYDSME,Lloyds Metals and Energy Limited,National Stock Exchange of India,Materials
BOM:542066,Adani Total Gas Limited,Bombay Stock Exchange,
NSE:ATGL,Adani Total Gas Limited,National Stock Exchange of India,Utilities
BOM:532388,Indian Overseas Bank,Bombay Stock Exchange,
NSE:IOB,Indian Overseas Bank,National Stock Exchange of India,Financials
NSE:IDEA,Vodafone Idea Limited,National Stock Exchange of India,Communication Services
BOM:532822,Vodafone Idea Limited,Bombay Stock Exchange,
NSE:GODREJPROP,Godrej Properties Limited,National Stock Exchange of India,Real Estate
BOM:533150,Godrej Properties Limited,Bombay Stock Exchange,
BOM:532779,Torrent Power Limited,Bombay Stock Exchange,
NSE:TORNTPOWER,Torrent Power Limited,National Stock Exchange of India,Utilities
BOM:541143,Bharat Dynamics Limited,Bombay Stock Exchange,
NSE:BDL,Bharat Dynamics Limited,National Stock Exchange of India,Industrials
BOM:540755,General Insurance Corporation of India,Bombay Stock Exchange,
NSE:GICRE,General Insurance Corporation of India,National Stock Exchange of India,Financials
BOM:533274,Prestige Estates Projects Limited,Bombay Stock Exchange,
NSE:PRESTIGE,Prestige Estates Projects Limited,National Stock Exchange of India,Real Estate
BOM:533106,Oil India Limited,Bombay Stock Exchange,
NSE:OIL,Oil India Limited,National Stock Exchange of India,Energy
NSE:ASHOKLEY,Ashok Leyland Limited,National Stock Exchange of India,Industrials
BOM:500477,Ashok Leyland Limited,Bombay Stock Exchange,
BOM:533273,Oberoi Realty Limited,Bombay Stock Exchange,
NSE:OBEROIRLTY,Oberoi Realty Limited,National Stock Exchange of India,Real Estate
BOM:590024,The Fertilisers and Chemicals Travancore Limited,Bombay Stock Exchange,
NSE:FACT,The Fertilisers and Chemicals Travancore Limited,National Stock Exchange of India,Materials
BOM:506395,Coromandel International Limited,Bombay Stock Exchange,
NSE:COROMANDEL,Coromandel International Limited,National Stock Exchange of India,Materials
BOM:524804,Aurobindo Pharma Limited,Bombay Stock Exchange,
NSE:AUROPHARMA,Aurobindo Pharma Limited,National Stock Exchange of India,Healthcare
BOM:500488,Abbott India Limited,Bombay Stock Exchange,
NSE:ABBOTINDIA,Abbott India Limited,National Stock Exchange of India,Healthcare
BOM:509480,Berger Paints India Limited,Bombay Stock Exchange,
NSE:BERGEPAINT,Berger Paints India Limited,National Stock Exchange of India,Materials
NSE:COLPAL,Colgate-Palmolive (India) Limited,National Stock Exchange of India,Consumer Staples
BOM:500830,Colgate-Palmolive (India) Limited,Bombay Stock Exchange,
BOM:532187,IndusInd Bank Limited,Bombay Stock Exchange,
NSE:INDUSINDBK,IndusInd Bank Limited,National Stock Exchange of India,Financials
NSE:SCHAEFFLER,Schaeffler India Limited,National Stock Exchange of India,Consumer Discretionary
BOM:505790,Schaeffler India Limited,Bombay Stock Exchange,
BOM:526371,NMDC Limited,Bombay Stock Exchange,
NSE:NMDC,NMDC Limited,National Stock Exchange of India,Materials
NSE:YESBANK,Yes Bank Limited,National Stock Exchange of India,Financials
BOM:532648,Yes Bank Limited,Bombay Stock Exchange,
BOM:543994,JSW Infrastructure Limited,Bombay Stock Exchange,
NSE:JSWINFRA,JSW Infrastructure Limited,National Stock Exchange of India,Industrials
BOM:500493,Bharat Forge Limited,Bombay Stock Exchange,
NSE:BHARATFORG,Bharat Forge Limited,National Stock Exchange of India,Consumer Discretionary
BOM:540691,Aditya Birla Capital Limited,Bombay Stock Exchange,
NSE:ABCAPITAL,Aditya Birla Capital Limited,National Stock Exchange of India,Financials
BOM:542830,Indian Railway Catering & Tourism Corporation Limited,Bombay Stock Exchange,
NSE:IRCTC,Indian Railway Catering & Tourism Corporation Limited,National Stock Exchange of India,Industrials
BOM:532539,Uno Minda Limited,Bombay Stock Exchange,
NSE:UNOMINDA,Uno Minda Limited,National Stock Exchange of India,Consumer Discretionary
NSE:LINDEINDIA,Linde India Limited,National Stock Exchange of India,Materials
BOM:523457,Linde India Limited,Bombay Stock Exchange,
